arquivo,funcoes,cc_media,cc_max,cc_soma,pior_rank,pior_classe,pior_funcao,pior_linha_ini
pynapple/core/config.py,10,1.5,4,15,A,PynappleConfig,set_backend,93
pynapple/io/cnmfe.py,6,1.5,2,9,A,CNMF_E,load_cnmfe_nwb,52
pynapple/core/time_index.py,8,2.25,4,18,A,TsIndex,format_timestamps,25
pynapple/io/loader.py,10,2.6,9,26,B,BaseLoader,load_data,77
pynapple/process/randomize.py,11,2.73,10,30,B,,shift_timestamps,12
pynapple/core/interval_set.py,40,2.95,26,118,D,IntervalSet,__init__,178
pynapple/io/folder.py,13,3.0,7,39,B,,_find_files,19
pynapple/process/filtering.py,13,3.08,15,40,C,,wrapper,16
pynapple/core/time_series.py,90,3.53,29,318,D,TsdFrame,__getitem__,1793
pynapple/io/phy.py,3,3.67,6,11,B,Phy,load_lfp,76
pynapple/core/base_class.py,27,3.74,28,101,D,_Base,_get_slice,489
pynapple/core/_core_functions.py,7,3.86,7,27,B,,_dropna,93
pynapple/process/warping.py,6,4.17,7,25,B,,_warp_tensor_from_tsd,168
pynapple/io/interface_npz.py,3,4.33,7,13,B,,_find_class_from_variables,18
pynapple/core/metadata_class.py,43,4.56,19,196,C,_MetadataMixin,set_info,210
pynapple/process/signal.py,5,4.8,13,24,C,,detect_oscillatory_events,248
pynapple/process/decoding.py,7,5.0,15,35,C,,wrapper,16
pynapple/io/interface_nwb.py,18,5.11,15,92,C,,_make_tsgroup,273
pynapple/process/spectrum.py,6,5.17,10,31,B,,compute_mean_power_spectral_density,192
pynapple/io/interface_neo.py,38,5.29,25,201,D,EphysReader,_collect_data,1141
pynapple/core/ts_group.py,35,5.66,35,198,E,TsGroup,__init__,193
pynapple/io/misc.py,6,5.67,11,34,C,,load_binary_file,155
pynapple/io/interface_neurosuite.py,11,6.18,17,68,C,,_build_events,38
pynapple/core/utils.py,20,6.45,36,129,E,,modifies_time_axis,496
pynapple/process/perievent.py,5,6.6,13,33,C,,compute_event_triggered_average,13
pynapple/io/neurosuite.py,6,7.17,24,43,D,NeuroSuite,load_mean_waveforms,248
pynapple/process/correlograms.py,7,8.0,14,56,C,,compute_isi_distribution,458
pynapple/process/_process_functions.py,4,8.5,19,34,C,,_jitperievent_triggered_average,74
pynapple/process/tuning_curves.py,12,9.83,37,118,E,,compute_tuning_curves,16
pynapple/process/wavelets.py,3,10.0,15,30,C,,generate_morlet_filterbank,141
pynapple/io/suite2p.py,2,10.5,20,21,C,Suite2P,load_suite2p_nwb,70
pynapple/core/_jitted_functions.py,14,11.43,25,160,D,,jitthreshold,323
