arquivo,tipo,classe,nome,rank_cc,complexity,linha_ini,linha_fim
pynapple/core/base_class.py,method,_Base,_define_instance,A,1,64,70
pynapple/core/base_class.py,method,_Base,t,A,1,73,75
pynapple/core/base_class.py,method,_Base,start,A,1,78,80
pynapple/core/base_class.py,method,_Base,end,A,1,83,85
pynapple/core/base_class.py,method,_Base,shape,A,1,88,90
pynapple/core/base_class.py,method,_Base,__repr__,A,1,92,93
pynapple/core/base_class.py,method,_Base,__str__,A,1,95,96
pynapple/core/base_class.py,method,_Base,__len__,A,1,98,99
pynapple/core/base_class.py,method,_Base,__getitem__,A,1,113,115
pynapple/core/base_class.py,method,_Base,__setitem__,A,1,117,118
pynapple/core/base_class.py,method,_Base,times,A,1,120,134
pynapple/core/base_class.py,method,_Base,_get_filename,A,1,639,658
pynapple/core/config.py,method,PynappleConfig,__init__,A,1,77,80
pynapple/core/config.py,method,PynappleConfig,backend,A,1,83,87
pynapple/core/config.py,method,PynappleConfig,backend,A,1,90,91
pynapple/core/config.py,method,PynappleConfig,time_index_precision,A,1,111,119
pynapple/core/config.py,method,PynappleConfig,suppress_conversion_warnings,A,1,122,128
pynapple/core/config.py,method,PynappleConfig,suppress_time_index_sorting_warnings,A,1,137,142
pynapple/core/config.py,method,PynappleConfig,restore_defaults,A,1,152,160
pynapple/core/interval_set.py,method,IntervalSet,__str__,A,1,395,396
pynapple/core/interval_set.py,method,IntervalSet,__len__,A,1,398,399
pynapple/core/interval_set.py,method,IntervalSet,__array__,A,1,493,494
pynapple/core/interval_set.py,method,IntervalSet,start,A,1,531,532
pynapple/core/interval_set.py,method,IntervalSet,end,A,1,535,536
pynapple/core/interval_set.py,method,IntervalSet,shape,A,1,539,540
pynapple/core/interval_set.py,method,IntervalSet,ndim,A,1,543,544
pynapple/core/interval_set.py,method,IntervalSet,size,A,1,547,548
pynapple/core/interval_set.py,method,IntervalSet,starts,A,1,551,565
pynapple/core/interval_set.py,method,IntervalSet,ends,A,1,568,582
pynapple/core/interval_set.py,method,IntervalSet,loc,A,1,585,589
pynapple/core/interval_set.py,method,IntervalSet,tot_length,A,1,636,651
pynapple/core/interval_set.py,method,IntervalSet,set_diff,A,1,710,730
pynapple/core/interval_set.py,method,IntervalSet,in_interval,A,1,732,752
pynapple/core/interval_set.py,method,IntervalSet,drop_short_intervals,A,1,754,773
pynapple/core/interval_set.py,method,IntervalSet,drop_long_intervals,A,1,775,794
pynapple/core/interval_set.py,method,IntervalSet,as_dataframe,A,1,887,897
pynapple/core/interval_set.py,method,IntervalSet,save,A,1,899,945
pynapple/core/interval_set.py,method,IntervalSet,set_info,A,1,1029,1102
pynapple/core/interval_set.py,method,IntervalSet,get_info,A,1,1105,1161
pynapple/core/interval_set.py,method,IntervalSet,drop_info,A,1,1164,1200
pynapple/core/interval_set.py,method,IntervalSet,restrict_info,A,1,1203,1239
pynapple/core/interval_set.py,method,IntervalSet,groupby,A,1,1243,1287
pynapple/core/interval_set.py,method,IntervalSet,groupby_apply,A,1,1290,1361
