arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
pynapple/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
pynapple/core/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
pynapple/io/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
pynapple/process/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
pynapple/io/cnmfe.py,arquivo,,1,4,3,6,5,9,8.0,20.8974,0.75,15.673,0.8707,0.007
pynapple/core/config.py,arquivo,,4,7,5,8,11,13,27.6515,44.9726,2.2857,102.7945,5.7108,0.015
pynapple/io/interface_npz.py,arquivo,,3,10,6,12,13,18,37.9742,66.6079,1.8,119.8942,6.6608,0.0222
pynapple/io/phy.py,arquivo,,6,22,13,25,28,38,113.6173,182.6795,3.4091,622.771,34.5984,0.0609
pynapple/core/time_index.py,arquivo,,6,22,15,28,28,43,113.6173,206.7163,3.8182,789.2803,43.8489,0.0689
pynapple/io/loader.py,arquivo,,6,28,16,32,34,48,150.1157,244.1982,3.4286,837.251,46.5139,0.0814
pynapple/io/suite2p.py,arquivo,,7,30,19,36,37,55,166.8582,286.5199,4.2,1203.3837,66.8547,0.0955
pynapple/process/warping.py,arquivo,,9,27,17,30,36,47,156.9113,242.9865,5.0,1214.9324,67.4962,0.081
pynapple/process/randomize.py,arquivo,,10,37,24,41,47,65,225.9691,361.0483,5.5405,2000.4026,111.1335,0.1203
pynapple/process/signal.py,arquivo,,12,29,21,35,41,56,183.901,300.0229,7.2414,2172.5797,120.6989,0.1
pynapple/io/folder.py,arquivo,,7,57,35,66,64,101,352.1262,606.0,4.0526,2455.8947,136.4386,0.202
pynapple/io/misc.py,arquivo,,8,39,29,56,47,85,230.1307,472.1401,5.7436,2711.7788,150.6544,0.1574
pynapple/core/_core_functions.py,arquivo,,10,44,34,62,54,96,273.4343,552.4692,7.0455,3892.3966,216.2443,0.1842
pynapple/process/perievent.py,arquivo,,13,53,40,65,66,105,351.6855,634.6614,7.9717,5059.3289,281.0738,0.2116
pynapple/process/filtering.py,arquivo,,14,65,45,82,79,127,444.7569,800.5802,8.8308,7069.7386,392.7633,0.2669
pynapple/io/interface_nwb.py,arquivo,,14,76,50,92,90,142,528.1455,921.8431,8.4737,7811.4077,433.9671,0.3073
pynapple/process/decoding.py,arquivo,,15,70,57,93,85,150,487.6532,961.4086,9.9643,9579.7504,532.2084,0.3205
pynapple/process/correlograms.py,arquivo,,15,81,62,114,96,176,572.1312,1158.9534,10.5556,12233.397,679.6332,0.3863
pynapple/io/interface_neurosuite.py,arquivo,,16,96,63,122,112,185,696.1564,1259.3607,10.1667,12803.5,711.3056,0.4198
pynapple/process/spectrum.py,arquivo,,14,82,64,125,96,189,574.6222,1244.5579,10.6707,13280.3436,737.7969,0.4149
pynapple/process/_process_functions.py,arquivo,,13,88,74,140,101,214,616.5357,1424.8573,10.3409,14734.3194,818.5733,0.475
pynapple/process/wavelets.py,arquivo,,17,84,71,126,101,197,606.4415,1311.6677,12.75,16723.7627,929.0979,0.4372
pynapple/io/neurosuite.py,arquivo,,17,113,76,144,130,220,840.1671,1544.9209,10.8319,16734.3646,929.6869,0.515
pynapple/core/metadata_class.py,arquivo,,14,147,94,178,161,272,1111.6548,1994.0094,8.4762,16901.6034,938.978,0.6647
pynapple/process/tuning_curves.py,arquivo,,15,139,108,187,154,295,1048.1362,2143.702,10.0899,21629.7993,1201.6555,0.7146
pynapple/core/utils.py,arquivo,,18,119,86,165,137,251,895.542,1781.6061,12.479,22232.647,1235.1471,0.5939
pynapple/io/interface_neo.py,arquivo,,18,153,100,192,171,292,1185.439,2166.0129,11.2941,24463.2049,1359.0669,0.722
pynapple/core/interval_set.py,arquivo,,16,159,112,210,175,322,1226.7484,2399.29,10.566,25350.9884,1408.3882,0.7998
pynapple/core/base_class.py,arquivo,,19,132,114,210,151,324,1010.5706,2345.2431,15.1136,35445.1519,1969.1751,0.7817
pynapple/core/ts_group.py,arquivo,,20,195,141,253,215,394,1569.868,3052.788,12.9744,39607.9672,2200.4426,1.0176
pynapple/core/time_series.py,arquivo,,19,325,239,442,344,681,2792.6068,5738.2863,12.92,74138.659,4118.8144,1.9128
pynapple/core/_jitted_functions.py,arquivo,,14,286,317,624,300,941,2387.0262,7743.3184,15.2727,118261.5899,6570.0883,2.5811
