arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
pynapple/core/base_class.py,funcao,__init__,6,11,6,11,17,17,53.5635,69.4869,3.0,208.4606,11.5811,0.0232
pynapple/core/base_class.py,funcao,_define_instance,0,0,0,0,0,0,0,0,0,0,0,0
pynapple/core/base_class.py,funcao,t,0,0,0,0,0,0,0,0,0,0,0,0
pynapple/core/base_class.py,funcao,start,0,0,0,0,0,0,0,0,0,0,0,0
pynapple/core/base_class.py,funcao,end,0,0,0,0,0,0,0,0,0,0,0,0
pynapple/core/base_class.py,funcao,shape,0,0,0,0,0,0,0,0,0,0,0,0
pynapple/core/base_class.py,funcao,__repr__,0,0,0,0,0,0,0,0,0,0,0,0
pynapple/core/base_class.py,funcao,__str__,0,0,0,0,0,0,0,0,0,0,0,0
pynapple/core/base_class.py,funcao,__len__,0,0,0,0,0,0,0,0,0,0,0,0
pynapple/core/base_class.py,funcao,__setattr__,0,0,0,0,0,0,0,0,0,0,0,0
pynapple/core/base_class.py,funcao,__getitem__,0,0,0,0,0,0,0,0,0,0,0,0
pynapple/core/base_class.py,funcao,__setitem__,0,0,0,0,0,0,0,0,0,0,0,0
pynapple/core/base_class.py,funcao,times,0,0,0,0,0,0,0,0,0,0,0,0
pynapple/core/base_class.py,funcao,start_time,0,0,0,0,0,0,0,0,0,0,0,0
pynapple/core/base_class.py,funcao,end_time,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
pynapple/core/base_class.py,funcao,value_from,4,9,6,9,13,15,36.5293,55.5066,2.0,111.0132,6.1674,0.0185
pynapple/core/base_class.py,funcao,count,5,11,8,13,16,21,49.6634,84.0,2.9545,248.1818,13.7879,0.028
pynapple/core/base_class.py,funcao,time_diff,9,22,18,33,31,51,126.6368,252.664,6.75,1705.4821,94.749,0.0842
pynapple/core/base_class.py,funcao,restrict,1,2,2,2,3,4,2.0,6.3399,0.5,3.1699,0.1761,0.0021
pynapple/core/base_class.py,funcao,in_interval,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
pynapple/core/base_class.py,funcao,copy,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
pynapple/core/base_class.py,funcao,find_support,4,10,8,15,14,23,41.2193,87.5692,3.0,262.7075,14.5949,0.0292
pynapple/core/base_class.py,funcao,get,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
pynapple/core/base_class.py,funcao,get_slice,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
pynapple/core/base_class.py,funcao,_get_slice,14,55,59,115,69,174,371.2778,1062.8833,14.6364,15556.7458,864.2637,0.3543
pynapple/core/base_class.py,funcao,_get_filename,0,0,0,0,0,0,0,0,0,0,0,0
pynapple/core/base_class.py,funcao,_from_npz_reader,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
pynapple/core/config.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
pynapple/core/config.py,funcao,backend,0,0,0,0,0,0,0,0,0,0,0,0
pynapple/core/config.py,funcao,set_backend,3,5,3,6,8,9,16.3645,27.0,1.8,48.6,2.7,0.009
pynapple/core/config.py,funcao,time_index_precision,0,0,0,0,0,0,0,0,0,0,0,0
pynapple/core/config.py,funcao,suppress_conversion_warnings,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
pynapple/core/config.py,funcao,suppress_time_index_sorting_warnings,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
pynapple/core/config.py,funcao,restore_defaults,0,0,0,0,0,0,0,0,0,0,0,0
pynapple/core/interval_set.py,funcao,__init__,10,38,28,54,48,82,232.6405,457.9669,7.1053,3253.9755,180.7764,0.1527
pynapple/core/interval_set.py,funcao,__repr__,7,25,17,31,32,48,135.7479,240.0,4.34,1041.6,57.8667,0.08
pynapple/core/interval_set.py,funcao,__str__,0,0,0,0,0,0,0,0,0,0,0,0
pynapple/core/interval_set.py,funcao,__len__,0,0,0,0,0,0,0,0,0,0,0,0
