arquivo,mi,rank_mi
pynapple/core/time_series.py,0.0,C
pynapple/core/ts_group.py,6.1744,C
pynapple/core/_jitted_functions.py,19.0519,A
pynapple/io/interface_neo.py,20.1562,A
pynapple/core/metadata_class.py,23.8899,A
pynapple/core/interval_set.py,25.5294,A
pynapple/process/perievent.py,35.3566,A
pynapple/core/base_class.py,35.5604,A
pynapple/core/utils.py,36.7905,A
pynapple/process/_process_functions.py,40.8131,A
pynapple/process/tuning_curves.py,41.6388,A
pynapple/io/interface_nwb.py,44.2653,A
pynapple/process/signal.py,45.0156,A
pynapple/process/decoding.py,45.0653,A
pynapple/io/interface_neurosuite.py,46.6154,A
pynapple/process/randomize.py,46.8551,A
pynapple/process/correlograms.py,49.8549,A
pynapple/io/neurosuite.py,52.0506,A
pynapple/core/_core_functions.py,54.4816,A
pynapple/process/filtering.py,54.8164,A
pynapple/io/folder.py,54.878,A
pynapple/core/time_index.py,56.5688,A
pynapple/process/spectrum.py,56.6918,A
pynapple/process/warping.py,57.5831,A
pynapple/process/wavelets.py,59.6155,A
pynapple/io/misc.py,59.9818,A
pynapple/io/loader.py,61.2911,A
pynapple/core/config.py,65.0858,A
pynapple/io/suite2p.py,65.6117,A
pynapple/io/phy.py,72.7897,A
pynapple/io/cnmfe.py,72.8303,A
pynapple/io/interface_npz.py,79.6258,A
pynapple/__init__.py,100.0,A
pynapple/core/__init__.py,100.0,A
pynapple/io/__init__.py,100.0,A
pynapple/process/__init__.py,100.0,A
