arquivo,loc,lloc,sloc,comments,multi,blank,single_comments
pynapple/core/__init__.py,5,5,5,0,0,0,0
pynapple/io/__init__.py,12,5,12,0,0,0,0
pynapple/__init__.py,21,9,18,1,0,2,1
pynapple/io/interface_npz.py,93,40,43,3,25,22,3
pynapple/core/time_index.py,151,55,47,2,76,26,2
pynapple/process/__init__.py,50,10,50,0,0,0,0
pynapple/core/config.py,164,54,52,2,76,34,2
pynapple/io/phy.py,155,61,79,2,47,27,2
pynapple/io/cnmfe.py,206,83,82,5,79,40,5
pynapple/process/warping.py,253,73,84,5,119,48,2
pynapple/io/suite2p.py,210,97,110,16,40,45,15
pynapple/process/wavelets.py,240,85,111,10,87,36,6
pynapple/process/randomize.py,402,109,116,7,194,85,7
pynapple/process/signal.py,396,92,116,8,218,54,8
pynapple/io/folder.py,310,134,125,34,89,61,35
pynapple/core/_core_functions.py,181,99,128,10,7,39,7
pynapple/process/spectrum.py,313,117,134,24,101,62,16
pynapple/process/perievent.py,550,103,149,3,319,79,3
pynapple/io/misc.py,372,125,174,3,131,64,3
pynapple/io/loader.py,298,136,177,8,60,53,8
pynapple/process/_process_functions.py,258,147,196,5,7,52,3
pynapple/process/filtering.py,517,128,206,2,238,69,4
pynapple/process/correlograms.py,553,180,236,5,227,85,5
pynapple/process/decoding.py,713,139,240,19,363,93,17
pynapple/io/neurosuite.py,430,175,244,35,100,65,21
pynapple/io/interface_neurosuite.py,494,246,266,41,105,85,38
pynapple/io/interface_nwb.py,562,270,286,34,137,107,32
pynapple/core/base_class.py,691,290,291,20,251,128,21
pynapple/core/utils.py,620,310,333,36,150,109,28
pynapple/process/tuning_curves.py,864,267,449,31,297,95,23
pynapple/core/metadata_class.py,909,424,484,58,241,131,53
pynapple/core/interval_set.py,1361,476,535,37,567,221,38
pynapple/core/_jitted_functions.py,826,570,587,135,33,157,49
pynapple/io/interface_neo.py,1398,563,665,116,369,243,121
pynapple/core/ts_group.py,2133,615,749,74,996,319,69
pynapple/core/time_series.py,4128,961,1167,53,2349,560,52
TOTAL,20839,7253,8746,844,8098,3296,699
